OBJECTID,HISTORIC_BNDY,TYPE,CODE,LASTUPDATE,LASTEDITOR,GlobalID,SHAPESTArea,SHAPESTLength,LIST_YR
8,Hyde Park ,Local,HISTHPHD,2016-06-01T16:50:38.000Z,DP7C,{211BA26F-8FB8-4719-BA8E-04BEFC477F80},16647638.8800049,23320.7579524113,1988
7,Seminole Heights ,Local,HISTSHHD,2016-06-01T16:50:40.000Z,DP7C,{9F248760-8BF2-475E-AE03-098496BA07AC},9855902.01043701,17655.5463172031,1995
9,Tampa Heights ,Local,HISTTHHD,2016-06-01T16:50:41.000Z,DP7C,{DA0D2CED-EFAD-4540-938D-3B0667B26B9A},8131691.652771,17911.6279288781,2000
10,Ybor City ,Local,HISTYCHD,2018-07-17T16:35:40.000Z,DP7C,{5BD00BF8-B758-4030-8C3E-A6356A1C2711},29827780.9837646,27776.6362427093,1975
